Usage statistics start at 5:00 each day
,Main (kWh),Gym (kWh),PlugLoad (kWh),Lighting (kWh),Emergency Kitchen+Lights (kWh),Chillers (kWh),CollinCent (kWh)
2015-11-06,5473.0,1238.4700000000012,613.7700000000041,1671.1000000000058,955.6900000000023,193.77000000000044,542.1500000000015
2015-11-07,2765.0,551.9600000000064,264.9499999999971,674.7000000000116,699.5499999999884,0.6699999999982538,452.5900000000038
2015-11-08,2747.0,626.6600000000035,236.9300000000003,641.2999999999884,777.3999999999942,0.5200000000004366,347.75
2015-11-09,5919.0,1513.8299999999872,627.5900000000038,1706.0,1143.2699999999895,16.029999999998836,657.6500000000015
2015-11-10,6109.0,1561.1300000000047,622.0399999999936,1765.6000000000058,1230.3500000000058,2.430000000000291,670.0800000000017
2015-11-11,3418.0,901.4600000000064,273.0699999999997,733.9000000000233,634.9899999999907,0.6100000000005821,764.3400000000038
2015-11-12,6178.0,1441.9700000000012,614.1399999999994,1742.7000000000116,1263.4900000000052,0.7000000000007276,865.1599999999889
2015-11-13,5919.0,1437.2599999999948,589.8399999999965,1620.1999999999825,1093.429999999993,6.399999999997817,922.3499999999913
2015-11-14,3417.0,757.070000000007,234.99000000000524,609.1000000000058,858.4799999999959,0.4099999999998545,858.9400000000023
2015-11-15,3211.0,669.429999999993,234.70000000000437,600.3999999999942,801.5100000000093,0.6700000000018917,804.4100000000035
2015-11-16,6094.0,1542.5,640.8800000000047,1688.2999999999884,1241.8600000000006,1.2199999999975262,735.7299999999959
2015-11-17,6558.0,1447.6000000000058,622.9100000000035,1768.7999999999884,1537.5299999999988,0.4099999999998545,972.4000000000087
2015-11-18,6366.0,1448.0999999999913,634.7900000000009,1761.1000000000058,1302.3399999999965,0.7000000000007276,990.1999999999971
2015-11-19,6145.0,1333.9000000000087,595.7200000000012,1750.8000000000175,1208.0899999999965,0.6399999999994179,1019.0900000000111
2015-11-20,5812.0,1444.7999999999884,588.4800000000032,1662.3999999999942,962.2799999999988,0.6500000000014552,900.1399999999994
2015-11-21,3420.0,553.3000000000029,249.86999999999534,697.7999999999884,1003.4800000000105,0.3899999999994179,820.4600000000064
2015-11-22,3017.0,615.8999999999942,248.0699999999997,659.3999999999942,651.2200000000012,0.5600000000013097,734.9199999999983
2015-11-23,6471.0,1469.199999999997,676.7799999999988,1731.5,1655.020000000004,0.2999999999992724,738.070000000007
2015-11-24,6550.0,1507.3999999999942,611.9800000000032,1700.0,1613.199999999997,0.42000000000189175,995.7699999999895
2015-11-25,5103.0,1385.4000000000087,453.41999999999825,1219.3999999999942,1379.7000000000116,0.48999999999796273,586.3000000000029
2015-11-26,2676.0,643.3000000000029,224.66999999999825,601.7000000000116,647.1999999999971,0.6399999999994179,575.929999999993
2015-11-27,2345.0,402.79999999998836,225.17000000000553,623.3999999999942,650.4000000000087,0.6500000000014552,452.34000000001106
2015-11-28,2686.0,695.9000000000087,225.20999999999913,613.4000000000233,772.4000000000087,0.5499999999992724,395.90000000000873
2015-11-29,3270.0,732.8999999999942,224.11000000000058,615.2999999999884,1062.2000000000116,0.3100000000013097,667.8000000000029
2015-11-30,6684.0,1489.2999999999884,651.1100000000006,1705.7000000000116,1630.3999999999942,0.2599999999983993,1123.0
2015-12-01,6454.0,1660.0,614.9499999999971,1711.7000000000116,1345.0,0.4099999999998545,1027.0400000000081
2015-12-02,6361.0,1499.800000000003,631.2900000000009,1746.0,1286.0999999999913,0.7000000000007276,1092.2300000000105
2015-12-03,5228.0,1326.199999999997,591.0200000000041,1532.8999999999942,1117.800000000003,0.569999999999709,556.3399999999965
2015-12-04,5694.0,1468.199999999997,521.2000000000044,1383.8999999999942,1370.800000000003,0.5,835.7700000000041
2015-12-05,3493.0,796.3000000000029,250.59999999999854,714.5,1018.7999999999884,0.4699999999975262,745.9200000000128
2015-12-06,3546.0,831.1999999999971,223.99000000000524,613.0,884.9000000000087,0.5300000000024738,1027.87999999999
2015-12-07,6477.0,1626.699999999997,603.6699999999983,1754.8999999999942,1202.3999999999942,0.6100000000005821,1202.8300000000017
2015-12-08,6676.0,1581.8999999999942,604.3299999999945,1796.2000000000116,1248.800000000003,0.4499999999970896,1358.25
