Usage statistics from between 5:00 and 20:00 each day
,Main (kWh),Gym (kWh),PlugLoad (kWh),Lighting (kWh),Emergency Kitchen+Lights (kWh),Chillers (kWh),CollinCent (kWh)
2015-11-12,5124.0,1204.0999999999913,518.6800000000003,1465.3999999999942,1001.7299999999959,0.4500000000007276,727.5799999999872
2015-11-13,4826.0,1093.5899999999965,502.75999999999476,1387.5,848.2899999999936,6.139999999999418,780.3199999999924
2015-11-14,2161.0,500.5,147.99000000000524,386.1000000000058,404.679999999993,0.4000000000014552,656.2099999999919
2015-11-15,2139.0,394.52999999999884,147.95000000000437,377.8999999999942,497.3600000000006,0.47999999999956344,659.5600000000122
2015-11-16,4785.0,1204.4000000000087,542.7100000000064,1430.5,871.0699999999924,1.0999999999985448,528.9799999999959
2015-11-17,5143.0,1150.5,522.3300000000017,1498.0999999999767,1075.929999999993,0.3900000000030559,709.6900000000023
2015-11-18,5184.0,1185.8999999999942,537.989999999998,1467.0,1042.4400000000023,0.4800000000032014,763.8999999999942
2015-11-19,5059.0,1129.800000000003,498.52999999999884,1484.3000000000175,943.7999999999884,0.3999999999978172,807.8300000000017
2015-11-20,4666.0,1152.7999999999884,495.5500000000029,1411.5999999999767,716.75,0.43000000000029104,677.3400000000111
2015-11-21,2112.0,328.8999999999942,157.75,452.70000000001164,561.570000000007,0.3600000000005821,548.6000000000058
2015-11-22,1979.0,328.3000000000029,157.0699999999997,418.0,425.22000000000116,0.38000000000101863,584.0599999999977
2015-11-23,5107.0,1198.699999999997,564.2400000000052,1452.2000000000116,1176.25,0.2999999999992724,538.320000000007
2015-11-24,5120.0,1187.6000000000058,514.260000000002,1434.7999999999884,1135.1000000000058,0.42000000000189175,694.2999999999884
2015-11-25,3933.0,1099.300000000003,370.11999999999534,989.7999999999884,955.3000000000029,0.4099999999998545,427.0500000000029
2015-11-26,1733.0,361.8999999999942,142.73999999999796,377.70000000001164,408.6000000000058,0.4000000000014552,454.61999999999534
2015-11-27,1565.0,261.3999999999942,142.69000000000233,405.3999999999942,410.1000000000058,0.43000000000029104,351.6100000000006
2015-11-28,1573.0,415.0,142.5699999999997,384.4000000000233,414.40000000000873,0.4099999999998545,224.0
2015-11-29,1948.0,416.5,142.1600000000035,389.29999999998836,621.8000000000029,0.2900000000008731,395.08000000000175
2015-11-30,5340.0,1178.699999999997,558.1800000000003,1441.1000000000058,1165.0,0.25,895.6800000000076
2015-12-01,5262.0,1307.800000000003,518.2200000000012,1444.8000000000175,1088.0,0.27000000000043656,798.8300000000017
2015-12-02,5179.0,1209.800000000003,532.3600000000006,1470.7000000000116,1028.8999999999942,0.43000000000029104,822.8400000000111
2015-12-03,4182.0,1021.8999999999942,496.5400000000009,1291.1999999999825,831.5,0.36999999999898137,429.47000000000116
2015-12-04,4550.0,1208.300000000003,439.25,1150.8999999999942,963.9000000000087,0.4500000000007276,662.1699999999983
2015-12-05,2161.0,504.6999999999971,167.22000000000116,457.70000000001164,576.0999999999913,0.43000000000029104,473.3700000000099
2015-12-06,2259.0,483.5,141.2800000000061,383.70000000001164,496.1000000000058,0.4500000000007276,775.7399999999907
2015-12-07,5185.0,1278.699999999997,508.3600000000006,1477.2999999999884,947.1000000000058,0.43000000000029104,877.5299999999988
